q	ー
w	か
e	ゃ
r	く
t	ま
y	ヴ
u	が
i	ぃ
o	ぇ
p	む
[	ふ
a	し
s	ょ
d	う
f	ゅ
g	、
h	て
j	た
k	い
l	ん
;	に
'	こ
z	き
x	で
c	は
v	の
b	け
n	な
m	と
,	す
.	。
/	っ
qi	ぢ
wi	ご
ri	ぽ
ti	ぴ
yi	ヴぃ
ui	つぃ
pi	ぞ
[i	ふぃ
ai	ね
di	うぃ
gi	ぺ
hi	てぃ
ji	り
li	ゆ
;i	げ
'i	ち
zi	づ
xi	でぃ
vi	ど
bi	ぃ
ni	じ
mi	そ
.i	ひ
/i	み
wo	め
ro	ぬ
yo	ヴぇ
uo	つぇ
po	ぎ
[o	ふぇ
ao	しぇ
do	うぇ
go	わ
ho	ぼ
jo	れ
ko	いぇ
;o	ら
'o	ちぇ
co	へ
vo	あ
bo	ぇ
no	じぇ
mo	ろ
,o	び
qe	ぢゃ
we	る
re	ぶ
te	ぴゃ
ye	ヴぁ
ue	つぁ
pe	ぎゃ
[e	ふぁ
ae	しゃ
de	ゃ
he	せ
je	りゃ
ke	ぱ
le	や
;e	にゃ
'e	ちゃ
ze	きゃ
xe	ゎ
ve	ぐ
be	ぁ
ne	じゃ
me	さ
,e	びゃ
.e	ひゃ
/e	みゃ
qf	ぢゅ
wf	え
rf	ゅ
tf	ぴゅ
yf	ヴゅ
uf	つ
pf	ぎゅ
[f	ふゅ
af	しゅ
df	お
hf	てゅ
jf	りゅ
kf	ず
lf	よ
;f	にゅ
'f	ちゅ
zf	きゅ
xf	でゅ
cf	ざ
vf	どぅ
bf	ぅ
nf	じゅ
mf	とぅ
,f	びゅ
.f	ひゅ
/f	みゅ
qs	ぢょ
ws	ょ
rs	べ
ts	ぴょ
ys	ヴぉ
us	つぉ
ps	ぎょ
[s	ふぉ
as	しょ
ds	うぉ
gs	ぜ
hs	だ
js	りょ
ks	ほ
ls	も
;s	にょ
's	ちょ
zs	きょ
cs	ぷ
vs	ば
bs	ぉ
ns	じょ
ms	を
,s	びょ
.s	ひょ
/s	みょ
2i	!
3i	?
4i	・
8e	「
9e	(
0e	)
-e	」
