あ a
い i
う u
え e
お o
か ka
き ki
く ku
け ke
こ ko
が ga
ぎ gi
ぐ gu
げ ge
ご go
さ sa
し si
す su
せ se
そ so
ざ za
じ ji
ず zu
ぜ ze
ぞ zo
た ta
ち ti
つ tu
て te
と to
だ da
ぢ di
づ du
で de
ど do
な na
に ni
ぬ nu
ね ne
の no
は ha
ひ hi
ふ hu
へ he
ほ ho
ば ba
び bi
ぶ bu
べ be
ぼ bo
ぱ pa
ぴ pi
ぷ pu
ぺ pe
ぽ po
ま ma
み mi
む mu
め me
も mo
や ya
ゆ yu
よ yo
ら ra
り ri
る ru
れ re
ろ ro
わ wa
を wo
ん xn
っ ltu
ゃ xya
ゅ xyu
ょ xyo
ぁ la
ぃ xi
ぅ xu
ぇ le
ぉ xo
ゔ vu
ー -
、 ,
。 .
きゃ kya
きゅ kyu
きょ kyo
ぎゃ gya
ぎゅ gyu
ぎょ gyo
しゃ sha
しゅ shu
しぇ she
しょ sho
じゃ ja
じゅ ju
じぇ je
じょ jo
ちゃ cha
ちゅ chu
ちぇ che
ちょ cho
ぢゃ dya
ぢゅ dyu
ぢょ dyo
にゃ nya
にゅ nyu
にょ nyo
ひゃ hya
ひゅ hyu
ひょ hyo
びゃ bya
びゅ byu
びょ byo
ぴゃ pya
ぴゅ pyu
ぴょ pyo
みゃ mya
みゅ myu
みょ myo
りゃ rya
りゅ ryu
りょ ryo
うぃ wi
うぇ we
うぉ who
ヴぁ va
ヴぃ vi
ヴゅ vyu
ヴぇ ve
ヴぉ vo
つぁ tsa
つぃ tsi
つぇ tse
つぉ tso
ふぁ fa
ふぃ fi
ふゅ fyu
ふぇ fe
ふぉ fo
てぃ thi
でぃ dhi
てゅ thu
でゅ dhu 
とぅ twu
どぅ dwu

